name;code
Французский;FR
Испанский;ES
Английский;EN
Русский;RU
Хинди;HI
Португальский;PT
Китайский (путунхуа);PU
Итальянский;IT
Латынь;LA
Тибетский;BO
Шведский;SV
Немецкий;DE
Китайский;ZH
Корейский;KO
Маори;MI
Вьетнамский;VI
Индонезийский;ID
Японский;JA
Венгерский;HU
Финский;FI
Сомали;SO
Кантонский;KT
Арабский;AR
Румынский;RO
Чешский;CS
Сербский;SR
Иврит;HE
Украинский;UK
Турецкий;TR
Северо-американских индейцев;NAI
Язык жестов;SL
Персидский;FA
Урду;UR
Албанский;SQ
Голландский;NL
Датский;DA
Фламандский;FL
Эсперанто;EO
Суахили;SW
Коса;XH
Зулу;ZU
Греческий;EL
Тайский;TH
Таджикский;TG
Норвежский;NO
Американский язык жестов;ASL
Болгарский;BG
Майя;MY
Древнегреческий;GRC
Нама;NM
Африкаанс;AF